genes	uniprot
B9J09_RS12780	B9J09_RS12780
B9J09_RS12790	B9J09_RS12790
B9J09_RS01335	B9J09_RS01335
B9J09_RS13270	B9J09_RS13270
B9J09_RS13275	B9J09_RS13275
B9J09_RS12795	B9J09_RS12795
B9J09_RS12800	B9J09_RS12800
B9J09_RS01345	B9J09_RS01345
B9J09_RS12275	B9J09_RS12275
B9J09_RS01350	B9J09_RS01350
B9J09_RS01355	B9J09_RS01355
B9J09_RS01360	B9J09_RS01360
B9J09_RS01365	B9J09_RS01365
B9J09_RS01370	B9J09_RS01370
B9J09_RS01380	B9J09_RS01380
B9J09_RS01385	B9J09_RS01385
B9J09_RS01390	B9J09_RS01390
B9J09_RS01395	B9J09_RS01395
B9J09_RS01400	B9J09_RS01400
B9J09_RS01405	B9J09_RS01405
B9J09_RS01410	B9J09_RS01410
B9J09_RS01415	B9J09_RS01415
B9J09_RS01420	B9J09_RS01420
B9J09_RS01425	B9J09_RS01425
B9J09_RS01430	B9J09_RS01430
B9J09_RS01435	B9J09_RS01435
B9J09_RS01440	B9J09_RS01440
B9J09_RS01445	B9J09_RS01445
B9J09_RS01450	B9J09_RS01450
B9J09_RS01455	B9J09_RS01455
B9J09_RS01460	B9J09_RS01460
B9J09_RS01465	B9J09_RS01465
B9J09_RS01470	B9J09_RS01470
B9J09_RS01475	B9J09_RS01475
B9J09_RS12810	B9J09_RS12810
B9J09_RS01490	B9J09_RS01490
B9J09_RS12280	B9J09_RS12280
B9J09_RS01495	B9J09_RS01495
B9J09_RS12815	B9J09_RS12815
B9J09_RS12285	B9J09_RS12285
B9J09_RS12820	B9J09_RS12820
B9J09_RS01525	B9J09_RS01525
B9J09_RS01530	B9J09_RS01530
B9J09_RS01535	B9J09_RS01535
B9J09_RS01545	B9J09_RS01545
B9J09_RS01555	B9J09_RS01555
B9J09_RS01560	B9J09_RS01560
B9J09_RS01565	B9J09_RS01565
B9J09_RS01570	B9J09_RS01570
B9J09_RS12565	B9J09_RS12565
B9J09_RS01575	B9J09_RS01575
B9J09_RS01580	B9J09_RS01580
B9J09_RS01585	B9J09_RS01585
B9J09_RS01595	B9J09_RS01595
B9J09_RS01600	B9J09_RS01600
B9J09_RS01605	B9J09_RS01605
B9J09_RS01610	B9J09_RS01610
B9J09_RS01615	B9J09_RS01615
B9J09_RS01625	B9J09_RS01625
B9J09_RS01630	B9J09_RS01630
B9J09_RS01635	B9J09_RS01635
B9J09_RS01640	B9J09_RS01640
B9J09_RS01645	B9J09_RS01645
B9J09_RS01650	B9J09_RS01650
B9J09_RS01655	B9J09_RS01655
B9J09_RS01660	B9J09_RS01660
B9J09_RS01665	B9J09_RS01665
B9J09_RS01670	B9J09_RS01670
B9J09_RS01675	B9J09_RS01675
B9J09_RS01680	B9J09_RS01680
B9J09_RS12290	B9J09_RS12290
B9J09_RS01685	B9J09_RS01685
B9J09_RS01690	B9J09_RS01690
B9J09_RS01695	B9J09_RS01695
B9J09_RS01700	B9J09_RS01700
B9J09_RS01710	B9J09_RS01710
B9J09_RS01725	B9J09_RS01725
B9J09_RS01730	B9J09_RS01730
B9J09_RS01735	B9J09_RS01735
B9J09_RS01745	B9J09_RS01745
B9J09_RS01750	B9J09_RS01750
B9J09_RS12825	B9J09_RS12825
B9J09_RS01765	B9J09_RS01765
B9J09_RS12295	B9J09_RS12295
B9J09_RS01770	B9J09_RS01770
B9J09_RS01775	B9J09_RS01775
B9J09_RS01780	B9J09_RS01780
B9J09_RS01785	B9J09_RS01785
B9J09_RS01790	B9J09_RS01790
B9J09_RS01795	B9J09_RS01795
B9J09_RS13280	B9J09_RS13280
B9J09_RS01800	B9J09_RS01800
B9J09_RS01805	B9J09_RS01805
B9J09_RS01810	B9J09_RS01810
B9J09_RS01820	B9J09_RS01820
B9J09_RS01825	B9J09_RS01825
B9J09_RS01830	B9J09_RS01830
B9J09_RS01840	B9J09_RS01840
B9J09_RS01845	B9J09_RS01845
B9J09_RS01850	B9J09_RS01850
B9J09_RS01855	B9J09_RS01855
B9J09_RS01860	B9J09_RS01860
B9J09_RS01865	B9J09_RS01865
B9J09_RS12300	B9J09_RS12300
B9J09_RS01875	B9J09_RS01875
B9J09_RS01880	B9J09_RS01880
B9J09_RS01890	B9J09_RS01890
B9J09_RS01895	B9J09_RS01895
B9J09_RS01900	B9J09_RS01900
B9J09_RS01905	B9J09_RS01905
